,B NumberofProtons,X3 NumberofNeutrons,X2 NumberofShells,X3 NumberofShells,A2 SpecificHeat,X2 SpecificHeat,A1 Density,A2 Density,B Density,A2 AtomicRadius,X2 AtomicRadius,A1 FirstIonization,A2 FirstIonization,B FirstIonization,X2 FirstIonization,X4 FirstIonization,A2 AtomicMass,A2 MeltingPoint,B MeltingPoint,X4 MeltingPoint,Efa (eV/atom)
B NumberofProtons,1.0,0.05863176226974274,-0.0028103697347316484,0.05836642362267625,0.0619470287527189,0.000852092943035451,-0.045581661484971885,0.07399882070508698,0.6433004768882429,0.039893259202761266,0.009420903293958569,0.06744615191496832,-0.014067176751914882,-0.1362305507835211,-0.01807591111731061,-0.08093613838748946,0.08548750158688789,0.03407086654979706,-0.6451073753073611,0.10044837438836887,-0.041833212187751816
X3 NumberofNeutrons,0.05863176226974274,1.0,0.6334099411114656,0.9695537326234853,-0.20613164085561222,-0.5795964144269521,0.23736001482195776,0.2836688672149924,0.041502891258319755,0.2696104147649936,0.5952520193309738,-0.22643186493092693,-0.25377449520937917,-0.01144346419240851,-0.5698812430238039,-0.6212982687780788,0.30269610938188746,-0.22864199235626828,-0.04852406691838834,0.7209304759011259,-0.2897891192057934
X2 NumberofShells,-0.0028103697347316484,0.6334099411114656,1.0,0.5893516360215624,-0.1388254313293928,-0.9549240461229489,0.12143848879700718,0.09497783351615327,0.014834500299186737,0.15492162066560508,0.975007025321601,-0.19408641415238323,-0.15964970050665708,-0.0112750541015973,-0.9485901042683087,-0.6733683323448014,0.12566133369402338,-0.14327595621032027,0.012775037932386603,0.6302590959904698,-0.383703984209714
X3 NumberofShells,0.05836642362267625,0.9695537326234853,0.5893516360215624,1.0,-0.15541701987183576,-0.56277076499213,0.19831823433704468,0.2341296362467057,0.041391129547628545,0.2643985066770315,0.586516546229989,-0.20681550288265235,-0.24585204169740676,-0.012322822704061582,-0.5799275141121986,-0.7028838151551275,0.2769628806491677,-0.18727677298702605,-0.04990382338546247,0.75847434268658,-0.30743030857949716
A2 SpecificHeat,0.0619470287527189,-0.20613164085561222,-0.1388254313293928,-0.15541701987183576,1.0,0.12964912237438947,-0.6415113115199982,-0.794329936429293,0.023613891138871957,-0.8253676501317074,-0.12137512926253476,0.6778238784563916,0.8740185152703669,0.004744400926813293,0.10810727936158186,-0.16379088702230535,-0.7402379487273641,0.9886905924844724,-0.05893297007286932,0.11646009035660437,0.5188370549529032
X2 SpecificHeat,0.000852092943035451,-0.5795964144269521,-0.9549240461229489,-0.56277076499213,0.12964912237438947,1.0,-0.08931860562291657,-0.05818956423546201,-0.014071658190024256,-0.15100633287143006,-0.9846265424032892,0.1678142683427669,0.1599687359312399,0.011948239485255516,0.9711864914950736,0.682091860075973,-0.09817238786509935,0.13452442257842454,-0.006440320960999274,-0.590668695367615,0.4159258967648489
A1 Density,-0.045581661484971885,0.23736001482195776,0.12143848879700718,0.19831823433704468,-0.6415113115199982,-0.08931860562291657,1.0,0.727627364638765,-0.011625760080325818,0.6620688023814425,0.10029247104263415,-0.8359747838078994,-0.6513130252663497,-0.006012911089657874,-0.09207738301970715,0.03971572293467738,0.7083909393670742,-0.6713452625071682,0.04978458147005532,-0.002061953435511797,-0.43709783904723376
A2 Density,0.07399882070508698,0.2836688672149924,0.09497783351615327,0.2341296362467057,-0.794329936429293,-0.05818956423546201,0.727627364638765,1.0,0.04126169484317288,0.8639904028399061,0.06749588422158487,-0.5811957003359043,-0.8329723290566609,-0.003832276565918512,-0.05660462607257501,0.10943376480309251,0.9718229024406223,-0.8450044159398269,-0.06290187827545758,-0.045719041995197385,-0.4314183639911459
B Density,0.6433004768882429,0.041502891258319755,0.014834500299186737,0.041391129547628545,0.023613891138871957,-0.014071658190024256,-0.011625760080325818,0.04126169484317288,1.0,0.024748940757744742,0.020138042960698495,0.019659233935568683,-0.012451276432112707,0.33362118510590466,-0.024058214353758628,-0.04789087121766119,0.04666763623381653,0.010188920632159289,-0.12908157716880764,0.06122948623584707,-0.061085218155666435
A2 AtomicRadius,0.039893259202761266,0.2696104147649936,0.15492162066560508,0.2643985066770315,-0.8253676501317074,-0.15100633287143006,0.6620688023814425,0.8639904028399061,0.024748940757744742,1.0,0.16273842583725007,-0.7485907540136922,-0.9919768684133683,-0.004713006478030608,-0.16646855371214025,-0.023757351799121414,0.9268357839874464,-0.9000300626885168,-0.034019141022385624,0.04009864052318982,-0.4078301670480184
