Name,EA2BX4 (eV),Part1,EPart1 (eV),Part2,EPart2 (eV),Part3,EPart3 (eV),Ef (eV),Efa (eV/atom),A1,A2,B,X1,X2,X3,X4,A1 NumberofProtons,A2 NumberofProtons,B NumberofProtons,X1 NumberofProtons,X2 NumberofProtons,X3 NumberofProtons,X4 NumberofProtons,A1 NumberofNeutrons,A2 NumberofNeutrons,B NumberofNeutrons,X1 NumberofNeutrons,X2 NumberofNeutrons,X3 NumberofNeutrons,X4 NumberofNeutrons,A1 NumberofShells,A2 NumberofShells,B NumberofShells,X1 NumberofShells,X2 NumberofShells,X3 NumberofShells,X4 NumberofShells,A1 SpecificHeat,A2 SpecificHeat,B SpecificHeat,X1 SpecificHeat,X2 SpecificHeat,X3 SpecificHeat,X4 SpecificHeat,A1 Density,A2 Density,B Density,X1 Density,X2 Density,X3 Density,X4 Density,A1 AtomicRadius,A2 AtomicRadius,B AtomicRadius,X1 AtomicRadius,X2 AtomicRadius,X3 AtomicRadius,X4 AtomicRadius,A1 FirstIonization,A2 FirstIonization,B FirstIonization,X1 FirstIonization,X2 FirstIonization,X3 FirstIonization,X4 FirstIonization,A1 AtomicMass,A2 AtomicMass,B AtomicMass,X1 AtomicMass,X2 AtomicMass,X3 AtomicMass,X4 AtomicMass,A1 MeltingPoint,A2 MeltingPoint,B MeltingPoint,X1 MeltingPoint,X2 MeltingPoint,X3 MeltingPoint,X4 MeltingPoint
Li2GeF4,-5587.936867,GeF2,"-3,861.99",LiF,-865.8320455,LiF,-865.8320455,5.720876571,0.817268082,Li,Li,Ge,F,F,F,F,3,3,32,9,9,9,9,4,4,41,10,10,10,10,2,2,4,2,2,2,2,3.582,3.582,0.32,0.824,0.824,0.824,0.824,0.534,0.534,5.32,0.0017,0.0017,0.0017,0.0017,2.1,2.1,1.5,0.57,0.57,0.57,0.57,5.3917,5.3917,7.8994,17.4228,17.4228,17.4228,17.4228,6.941,6.941,72.64,18.998,18.998,18.998,18.998,453.85,453.85,1211.45,53.63,53.63,53.63,53.63
Na2GeF4 ,-7794.302965,GeF2,"-3,861.99",NaF,-1967.7946,NaF,-1967.7946,3.279886908,0.468555273,Na,Na,Ge,F,F,F,F,11,11,32,9,9,9,9,12,12,41,10,10,10,10,3,3,4,2,2,2,2,1.228,1.228,0.32,0.824,0.824,0.824,0.824,0.971,0.971,5.32,0.0017,0.0017,0.0017,0.0017,2.2,2.2,1.5,0.57,0.57,0.57,0.57,5.1391,5.1391,7.8994,17.4228,17.4228,17.4228,17.4228,22.99,22.99,72.64,18.998,18.998,18.998,18.998,371.15,371.15,1211.45,53.63,53.63,53.63,53.63
K2GeF4 ,-6768.966846,GeF2,"-3,861.99",KF,-1455.088823,KF,-1455.088823,3.204452244,0.457778892,K,K,Ge,F,F,F,F,19,19,32,9,9,9,9,20,20,41,10,10,10,10,4,4,4,2,2,2,2,0.757,0.757,0.32,0.824,0.824,0.824,0.824,0.862,0.862,5.32,0.0017,0.0017,0.0017,0.0017,2.8,2.8,1.5,0.57,0.57,0.57,0.57,4.3407,4.3407,7.8994,17.4228,17.4228,17.4228,17.4228,39.098,39.098,72.64,18.998,18.998,18.998,18.998,336.5,336.5,1211.45,53.63,53.63,53.63,53.63
Rb2GeF4 ,-6567.604186,GeF2,"-3,861.99",RbF,-1353.873619,RbF,-1353.873619,2.136704102,0.305243443,Rb,Rb,Ge,F,F,F,F,37,37,32,9,9,9,9,48,48,41,10,10,10,10,5,5,4,2,2,2,2,0.363,0.363,0.32,0.824,0.824,0.824,0.824,1.53,1.53,5.32,0.0017,0.0017,0.0017,0.0017,3,3,1.5,0.57,0.57,0.57,0.57,4.1771,4.1771,7.8994,17.4228,17.4228,17.4228,17.4228,85.468,85.468,72.64,18.998,18.998,18.998,18.998,312.79,312.79,1211.45,53.63,53.63,53.63,53.63
Cs2GeF4 ,-6737.099574,GeF2,"-3,861.99",CsF,-1437.835438,CsF,-1437.835438,0.564953546,0.080707649,Cs,Cs,Ge,F,F,F,F,55,55,32,9,9,9,9,78,78,41,10,10,10,10,6,6,4,2,2,2,2,0.242,0.242,0.32,0.824,0.824,0.824,0.824,1.87,1.87,5.32,0.0017,0.0017,0.0017,0.0017,3.3,3.3,1.5,0.57,0.57,0.57,0.57,3.8939,3.8939,7.8994,17.4228,17.4228,17.4228,17.4228,132.905,132.905,72.64,18.998,18.998,18.998,18.998,301.7,301.7,1211.45,53.63,53.63,53.63,53.63
Li2SnF4,-5099.530655,SnF2,"-3,372.91",LiF,-865.8320455,LiF,-865.8320455,5.044693571,0.72067051,Li,Li,Sn,F,F,F,F,3,3,50,9,9,9,9,4,4,69,10,10,10,10,2,2,5,2,2,2,2,3.582,3.582,0.228,0.824,0.824,0.824,0.824,0.534,0.534,7.29,0.0017,0.0017,0.0017,0.0017,2.1,2.1,1.7,0.57,0.57,0.57,0.57,5.3917,5.3917,7.3439,17.4228,17.4228,17.4228,17.4228,6.941,6.941,118.71,18.998,18.998,18.998,18.998,453.85,453.85,505.21,53.63,53.63,53.63,53.63
Na2SnF4 ,-7305.485436,SnF2,"-3,372.91",NaF,-1967.7946,NaF,-1967.7946,3.015020908,0.430717273,Na,Na,Sn,F,F,F,F,11,11,50,9,9,9,9,12,12,69,10,10,10,10,3,3,5,2,2,2,2,1.228,1.228,0.228,0.824,0.824,0.824,0.824,0.971,0.971,7.29,0.0017,0.0017,0.0017,0.0017,2.2,2.2,1.7,0.57,0.57,0.57,0.57,5.1391,5.1391,7.3439,17.4228,17.4228,17.4228,17.4228,22.99,22.99,118.71,18.998,18.998,18.998,18.998,371.15,371.15,505.21,53.63,53.63,53.63,53.63
K2SnF4 ,-6280.142927,SnF2,"-3,372.91",KF,-1455.088823,KF,-1455.088823,2.945976244,0.420853749,K,K,Sn,F,F,F,F,19,19,50,9,9,9,9,20,20,69,10,10,10,10,4,4,5,2,2,2,2,0.757,0.757,0.228,0.824,0.824,0.824,0.824,0.862,0.862,7.29,0.0017,0.0017,0.0017,0.0017,2.8,2.8,1.7,0.57,0.57,0.57,0.57,4.3407,4.3407,7.3439,17.4228,17.4228,17.4228,17.4228,39.098,39.098,118.71,18.998,18.998,18.998,18.998,336.5,336.5,505.21,53.63,53.63,53.63,53.63
Rb2SnF4 ,-6078.786385,SnF2,"-3,372.91",RbF,-1353.873619,RbF,-1353.873619,1.872110102,0.2674443,Rb,Rb,Sn,F,F,F,F,37,37,50,9,9,9,9,48,48,69,10,10,10,10,5,5,5,2,2,2,2,0.363,0.363,0.228,0.824,0.824,0.824,0.824,1.53,1.53,7.29,0.0017,0.0017,0.0017,0.0017,3,3,1.7,0.57,0.57,0.57,0.57,4.1771,4.1771,7.3439,17.4228,17.4228,17.4228,17.4228,85.468,85.468,118.71,18.998,18.998,18.998,18.998,312.79,312.79,505.21,53.63,53.63,53.63,53.63
Cs2SnF4 ,-6248.282588,SnF2,"-3,372.91",CsF,-1437.835438,CsF,-1437.835438,0.299544546,0.042792078,Cs,Cs,Sn,F,F,F,F,55,55,50,9,9,9,9,78,78,69,10,10,10,10,6,6,5,2,2,2,2,0.242,0.242,0.228,0.824,0.824,0.824,0.824,1.87,1.87,7.29,0.0017,0.0017,0.0017,0.0017,3.3,3.3,1.7,0.57,0.57,0.57,0.57,3.8939,3.8939,7.3439,17.4228,17.4228,17.4228,17.4228,132.905,132.905,118.71,18.998,18.998,18.998,18.998,301.7,301.7,505.21,53.63,53.63,53.63,53.63
Li2PbF4 ,-8480.280947,PbF2,-6753.838817,LiF,-865.8320455,LiF,-865.8320455,5.221960713,0.745994388,Li,Li,Pb,F,F,F,F,3,3,82,9,9,9,9,4,4,125,10,10,10,10,2,2,6,2,2,2,2,3.582,3.582,0.129,0.824,0.824,0.824,0.824,0.534,0.534,11.3,0.0017,0.0017,0.0017,0.0017,2.1,2.1,1.8,0.57,0.57,0.57,0.57,5.3917,5.3917,7.4167,17.4228,17.4228,17.4228,17.4228,6.941,6.941,207.2,18.998,18.998,18.998,18.998,453.85,453.85,600.75,53.63,53.63,53.63,53.63
Na2PbF4 ,-10686.34741,PbF2,-6753.838817,NaF,-1967.7946,NaF,-1967.7946,3.08060605,0.440086579,Na,Na,Pb,F,F,F,F,11,11,82,9,9,9,9,12,12,125,10,10,10,10,3,3,6,2,2,2,2,1.228,1.228,0.129,0.824,0.824,0.824,0.824,0.971,0.971,11.3,0.0017,0.0017,0.0017,0.0017,2.2,2.2,1.8,0.57,0.57,0.57,0.57,5.1391,5.1391,7.4167,17.4228,17.4228,17.4228,17.4228,22.99,22.99,207.2,18.998,18.998,18.998,18.998,371.15,371.15,600.75,53.63,53.63,53.63,53.63
K2PbF4 ,-9661.038478,PbF2,-6753.838817,KF,-1455.088823,KF,-1455.088823,2.977984386,0.425426341,K,K,Pb,F,F,F,F,19,19,82,9,9,9,9,20,20,125,10,10,10,10,4,4,6,2,2,2,2,0.757,0.757,0.129,0.824,0.824,0.824,0.824,0.862,0.862,11.3,0.0017,0.0017,0.0017,0.0017,2.8,2.8,1.8,0.57,0.57,0.57,0.57,4.3407,4.3407,7.4167,17.4228,17.4228,17.4228,17.4228,39.098,39.098,207.2,18.998,18.998,18.998,18.998,336.5,336.5,600.75,53.63,53.63,53.63,53.63
Rb2PbF4 ,-9459.697537,PbF2,-6753.838817,RbF,-1353.873619,RbF,-1353.873619,1.888517244,0.269788178,Rb,Rb,Pb,F,F,F,F,37,37,82,9,9,9,9,48,48,125,10,10,10,10,5,5,6,2,2,2,2,0.363,0.363,0.129,0.824,0.824,0.824,0.824,1.53,1.53,11.3,0.0017,0.0017,0.0017,0.0017,3,3,1.8,0.57,0.57,0.57,0.57,4.1771,4.1771,7.4167,17.4228,17.4228,17.4228,17.4228,85.468,85.468,207.2,18.998,18.998,18.998,18.998,312.79,312.79,600.75,53.63,53.63,53.63,53.63
Cs2PbF4 ,-9629.213756,PbF2,-6753.838817,CsF,-1437.835438,CsF,-1437.835438,0.295935688,0.042276527,Cs,Cs,Pb,F,F,F,F,55,55,82,9,9,9,9,78,78,125,10,10,10,10,6,6,6,2,2,2,2,0.242,0.242,0.129,0.824,0.824,0.824,0.824,1.87,1.87,11.3,0.0017,0.0017,0.0017,0.0017,3.3,3.3,1.8,0.57,0.57,0.57,0.57,3.8939,3.8939,7.4167,17.4228,17.4228,17.4228,17.4228,132.905,132.905,207.2,18.998,18.998,18.998,18.998,301.7,301.7,600.75,53.63,53.63,53.63,53.63
Li2GeCl4 ,-4638.725673,GeCl2,-3384.425335,LiCl,-627.3825355,LiCl,-627.3825355,0.46473329,0.06639047,Li,Li,Ge,Cl,Cl,Cl,Cl,3,3,32,17,17,17,17,4,4,41,18,18,18,18,2,2,4,3,3,3,3,3.582,3.582,0.32,0.479,0.479,0.479,0.479,0.534,0.534,5.32,0.00321,0.00321,0.00321,0.00321,2.1,2.1,1.5,0.97,0.97,0.97,0.97,5.3917,5.3917,7.8994,12.9676,12.9676,12.9676,12.9676,6.941,6.941,72.64,35.453,35.453,35.453,35.453,453.85,453.85,1211.45,172.31,172.31,172.31,172.31
Na2GeCl4 ,-6844.478788,GeCl2,-3384.425335,NaCl,-1729.466839,NaCl,-1729.466839,-1.119775381,-0.159967912,Na,Na,Ge,Cl,Cl,Cl,Cl,11,11,32,17,17,17,17,12,12,41,18,18,18,18,3,3,4,3,3,3,3,1.228,1.228,0.32,0.479,0.479,0.479,0.479,0.971,0.971,5.32,0.00321,0.00321,0.00321,0.00321,2.2,2.2,1.5,0.97,0.97,0.97,0.97,5.1391,5.1391,7.8994,12.9676,12.9676,12.9676,12.9676,22.99,22.99,72.64,35.453,35.453,35.453,35.453,371.15,371.15,1211.45,172.31,172.31,172.31,172.31
K2GeCl4 ,-5819.009288,GeCl2,-3384.425335,KCl,-1217.278105,KCl,-1217.278105,-0.027742997,-0.003963285,K,K,Ge,Cl,Cl,Cl,Cl,19,19,32,17,17,17,17,20,20,41,18,18,18,18,4,4,4,3,3,3,3,0.757,0.757,0.32,0.479,0.479,0.479,0.479,0.862,0.862,5.32,0.00321,0.00321,0.00321,0.00321,2.8,2.8,1.5,0.97,0.97,0.97,0.97,4.3407,4.3407,7.8994,12.9676,12.9676,12.9676,12.9676,39.098,39.098,72.64,35.453,35.453,35.453,35.453,336.5,336.5,1211.45,172.31,172.31,172.31,172.31
